new_header	new_type	legacy_type	file	line	matched_pattern	text
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/controllers/bindings_controller.cpp	63	\b(?:karma::)?common::serialization::Value\b	const karma::common::serialization::Value *controllerNode = nullptr;
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/controllers/bindings_controller.cpp	135	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value keybindings = karma::common::serialization::Object();
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/controllers/bindings_controller.cpp	136	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value controllerBindings = karma::common::serialization::Object();
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/controllers/console_controller.cpp	62	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value creds = karma::common::serialization::Object();
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/frontends/imgui/console/console.cpp	583	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value creds = karma::common::serialization::Object();
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/frontends/imgui/console/panels/panel_start_server.cpp	324	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value configJson;
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/frontends/rmlui/console/panels/panel_start_server.cpp	1074	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value configJson;
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/app/shared/config_overrides.cpp	20	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value overlay = karma::common::serialization::Object();
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/app/shared/config_overrides.cpp	69	\b(?:karma::)?common::serialization::Value\b	const auto decoded = karma::common::serialization::Value::parse(
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/app/shared/config_overrides.cpp	225	\b(?:karma::)?common::serialization::Value\b	auto assignPathValue = [](karma::common::serialization::Value* root,
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/app/shared/config_overrides.cpp	227	\b(?:karma::)?common::serialization::Value\b	const karma::common::serialization::Value& value,
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/app/shared/config_overrides.cpp	248	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value* current = root;
