new_header	new_symbol	legacy_symbol	file	line	matched_pattern	text
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/backend.cpp	58	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto bigFontPath = karma::common::data::ResolveConfiguredAsset(assets.selection.regularFontKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/backend.cpp	276	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto bigFontPath = karma::common::data::ResolveConfiguredAsset(assets.selection.regularFontKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/console/console.cpp	94	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto fontPath = karma::common::data::ResolveConfiguredAsset(assetKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/console/console.cpp	131	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto regularFontPath = karma::common::data::ResolveConfiguredAsset(regularFontKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/console/console.cpp	170	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto titleFontPath = karma::common::data::ResolveConfiguredAsset(assets.titleKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/console/console.cpp	187	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto headingFontPath = karma::common::data::ResolveConfiguredAsset(assets.headingKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/imgui/console/console.cpp	204	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto buttonFontPath = karma::common::data::ResolveConfiguredAsset(assets.buttonKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/rmlui/backend.cpp	808	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	"const auto defaultRegularPath = karma::common::data::ResolveConfiguredAsset(""hud.fonts.console.Regular.Font"");"
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/rmlui/backend.cpp	814	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto languageRegularPath = karma::common::data::ResolveConfiguredAsset(assets.selection.regularFontKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/rmlui/backend.cpp	817	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto titleFontPath = karma::common::data::ResolveConfiguredAsset(assets.titleKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/rmlui/backend.cpp	819	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto headingFontPath = karma::common::data::ResolveConfiguredAsset(assets.headingKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/rmlui/backend.cpp	821	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto buttonFontPath = karma::common::data::ResolveConfiguredAsset(assets.buttonKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/rmlui/backend.cpp	824	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	const auto emojiFontPath = karma::common::data::ResolveConfiguredAsset(assets.emojiKey);
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-bz3/src/ui/frontends/rmlui/backend.cpp	835	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	loadFont(karma::common::data::ResolveConfiguredAsset(key), true, key.c_str());
m-kconfig/include/kconfig/data/path_resolver.hpp	ResolveConfiguredAsset	ResolveConfiguredAsset	m-karma/src/ui/backends/rmlui/adapter.cpp	51	\b(?:karma::)?common::data::ResolveConfiguredAsset\s*\(	"common::data::ResolveConfiguredAsset(""assets.hud.fonts.console.Regular.Font"");"
m-kconfig/include/kconfig/data/path_resolver.hpp	SetDataPathSpec	SetDataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	503	\b(?:karma::)?common::data::SetDataPathSpec\s*\(	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	SetDataPathSpec	SetDataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	693	\b(?:karma::)?common::data::SetDataPathSpec\s*\(	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	SetDataPathSpec	SetDataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	794	\b(?:karma::)?common::data::SetDataPathSpec\s*\(	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	SetDataPathSpec	SetDataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	915	\b(?:karma::)?common::data::SetDataPathSpec\s*\(	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	SetDataPathSpec	SetDataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	1107	\b(?:karma::)?common::data::SetDataPathSpec\s*\(	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
